tmID_raw  tmID  franchID  confID  year  arena  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  d_fga  d_ftm  d_3pm  d_3pa  d_oreb  d_dreb  d_asts  d_pf  d_stl  d_to  d_blk  d_pts  prev_won  roll3_won
     CHA     0         0       0     1      3    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186   1930    533    138    423     326     664     596   596    259   426    123   2429       NaN        NaN
     CHA     0         0       0     2      3    746   1780    410    528    153     309     639    948     467   605    217   474    114   2055   1846    431    114    369     344     567     443   579    257   447    124   2009       8.0        8.0
     CHA     0         0       0     3      3    770   1790    490    663    211     302     653    955     496   647    241   408    105   2241   1807    444    133    372     295     620     489   600    208   424    103   2133      18.0       13.0
     CLE     1         1       0     1      9    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185   1761    455    119    368     277     596     540   693    305   552     95   2122       NaN        NaN
     CLE     1         1       0     2      9    763   1770    372    505    106     297     662    959     503   532    267   444     83   2004   1745    328    132    417     297     594     434   597    225   496    127   1788      17.0       17.0
     CLE     1         1       0     3      9    760   1820    430    553    121     295     674    969     480   567    221   451     83   2071   1834    397    149    441     278     640     530   613    242   428    109   2140      22.0       19.5
     DET     2         3       0     1     13    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331   1967    480    136    372     331     640     513   672    284   543    148   2426       NaN        NaN
     DET     2         3       0     2     13    774   1914    412    542    143     324     621    945     469   602    225   498     82   2103   1837    446    127    340     279     702     438   591    262   483    109   2269      14.0       14.0
     DET     2         3       0     3     13    766   1919    472    651    110     360     719   1079     478   609    201   541    132   2114   1984    464    146    447     314     669     465   637    277   443    139   2266      10.0       12.0
     HOU     3         4       1     1      4    891   1894    521    634    172     273     724    997     494   554    284   440    104   2475   1938    370    124    418     290     612     473   648    233   480     85   2066       NaN        NaN
     HOU     3         4       1     2      4    747   1908    415    539    138     348     710   1058     426   509    251   436     95   2047   1883    362    152    456     297     685     452   561    248   433    120   1994      27.0       27.0
     HOU     3         4       1     3      4    755   1778    453    585    109     299     702   1001     450   467    260   455    126   2072   1880    331    151    489     309     664     446   606    262   464     71   1892      19.0       23.0
     IND     4         5       0     1      5    796   1838    428    569    193     285     647    932     501   642    271   518    126   2213   1868    503    109    358     321     633     528   612    267   476     75   2290       NaN        NaN
     IND     4         5       0     2      5    762   1822    472    591    157     286     649    935     458   600    242   491    118   2153   1899    412    131    367     306     660     565   616    256   466    140   2249       9.0        9.0
