tmID_raw  tmID  franchID  confID  year  arena  o_fgm  o_fga  o_ftm  o_fta  o_3pm  o_oreb  o_dreb  o_reb  o_asts  o_pf  o_stl  o_to  o_blk  o_pts  d_fga  d_ftm  d_3pm  d_3pa  d_oreb  d_dreb  d_asts  d_pf  d_stl  d_to  d_blk  d_pts  prev_won  roll3_won
     CHA     0         0       0     1      3    812   1903    431    577    131     305     630    935     551   713    222   496     90   2186   1930    533    138    423     326     664     596   596    259   426    123   2429       NaN        NaN
     CLE     1         1       0     1      9    809   1828    426    570    141     331     603    934     539   647    259   538     91   2185   1761    455    119    368     277     596     540   693    305   552     95   2122       NaN        NaN
     DET     2         3       0     1     13    868   1980    519    699     76     341     644    985     503   701    260   530     88   2331   1967    480    136    372     331     640     513   672    284   543    148   2426       NaN        NaN
     HOU     3         4       1     1      4    891   1894    521    634    172     273     724    997     494   554    284   440    104   2475   1938    370    124    418     290     612     473   648    233   480     85   2066       NaN        NaN
     IND     4         5       0     1      5    796   1838    428    569    193     285     647    932     501   642    271   518    126   2213   1868    503    109    358     321     633     528   612    267   476     75   2290       NaN        NaN
     LAS     5         6       1     1     11    861   1956    545    693    150     308     783   1091     586   705    271   466    156   2417   1963    495    122    413     300     678     445   650    243   485    105   2169       NaN        NaN
     MIA     6         7       0     1      1    647   1774    452    664     85     365     595    960     415   707    272   524     88   1831   1676    454    117    315     275     648     416   661    247   528    118   2001       NaN        NaN
     MIN     7         8       1     1     12    770   1831    449    592    204     258     612    870     495   690    237   497     63   2193   1758    514    164    481     300     677     472   707    275   547    130   2188       NaN        NaN
     NYL     8         9       0     1      8    792   1815    429    567    135     288     652    940     477   617    246   474    102   2148   1822    437    116    420     320     647     462   645    223   479     94   2035       NaN        NaN
     ORL     9         2       0     1      2    833   1911    397    546    145     319     606    925     473   583    255   486    130   2208   1964    378    153    450     348     669     536   637    264   500    108   2233       NaN        NaN
     PHO    10        10       1     1     14    803   1800    513    661    124     275     619    894     465   630    285   429     91   2243   1828    421    135    416     334     635     486   699    224   531     91   2102       NaN        NaN
     POR    11        11       1     1     10    761   1828    488    697    145     309     627    936     480   761    265   593     93   2155   1847    577    150    447     307     646     487   729    277   531    130   2303       NaN        NaN
     SAC    12        12       1     1      0    876   1993    449    650    142     388     650   1038     567   571    332   458    157   2343   1918    410    144    418     320     631     503   600    226   524    116   2176       NaN        NaN
     SEA    13        14       1     1      7    667   1740    379    561    109     256     537    793     390   648    255   525     93   1822   1721    498    117    334     288     721     506   618    284   529    123   2171       NaN        NaN
     UTA    14        13       1     1      6    858   1896    609    790     88     348     732   1080     522   698    214   544    157   2413   1964    531    156    448     313     598     503   702    301   437    112   2407       NaN        NaN
     WAS    15        15       0     1     15    832   1813    403    578    109     300     646    946     521   597    245   506    126   2176   1875    382    149    397     299     612     513   595    261   456    102   2221       NaN        NaN
